User_Id,Customer_Age,Trx_Vlu,Trx_Age,Trx_Rank,Points,Category In English,Mer_Id
489,271,150,271,1,1500,Grocery,3
492,40,278,138,1,2780,Grocery,3
495,261,90,261,1,900,Grocery,3
506,299,79.2,299,1,792,Grocery,3
507,211,172,211,1,1720,Grocery,3
513,20,138,155,1,1380,Grocery,3
513,20,215.2,20,2,2152,Grocery,3
515,271,197.5,271,1,1975,Grocery,3
522,261,96,261,1,960,Grocery,3
532,20,1000,176,1,10000,Grocery,3
532,20,800,138,2,8000,Grocery,3
532,20,300,138,3,3000,Grocery,3
532,20,700,68,4,7000,Grocery,3
556,308,171,308,1,1710,Grocery,3
562,163,114,163,1,1140,Grocery,3
563,45,447,193,1,4470,Grocery,3
565,269,288,269,1,2880,Grocery,3
572,161,1501.7,161,1,15017,Grocery,3
575,235,660.2,235,1,6602,Grocery,3
578,34,320,34,1,3200,Grocery,3
579,125,334,125,1,3340,Grocery,3
600,75,218,75,1,2180,Grocery,3
606,34,94,251,1,940,Grocery,3
606,34,50,34,2,500,Grocery,3
610,223,117,223,1,1170,Grocery,3
613,121,205.4,121,1,2054,Grocery,3
614,256,213.8,256,1,2138,Grocery,3
616,258,159.8,258,1,1598,Grocery,3
617,264,109.6,264,1,1096,Grocery,3
618,264,157,264,1,1570,Grocery,3
623,118,298,274,1,2980,Grocery,3
630,211,67.6,298,1,676,Grocery,3
630,211,40,211,2,400,Grocery,3
631,152,160,152,1,1600,Grocery,3
658,121,297.8,121,1,2978,Grocery,3
659,52,258,52,1,2580,Grocery,3
668,303,124,303,1,1240,Grocery,3
681,253,252,253,1,2520,Grocery,3
682,292,157,292,1,1570,Grocery,3
692,124,432,124,1,4320,Grocery,3
695,258,297.6,258,1,2976,Grocery,3
703,267,342,267,1,3420,Grocery,3
704,74,170.9,74,1,1709,Grocery,3
728,78,2358.7,78,1,23587,Grocery,3
731,34,40,266,1,400,Grocery,3
731,34,165.3,34,2,1653,Grocery,3
733,245,380,245,1,3800,Grocery,3
737,260,170.6,260,1,1706,Grocery,3
744,216,182,216,1,1820,Grocery,3
755,20,146.4,265,1,1464,Grocery,3
758,258,109,258,1,1090,Grocery,3
763,20,2693,255,1,26930,Grocery,3
763,20,2595.2,46,2,25952,Grocery,3
765,19,170.8,179,1,1708,Grocery,3
767,213,320,213,1,3200,Grocery,3
782,55,190,161,1,1900,Grocery,3
782,55,900,55,2,9000,Grocery,3
793,68,400,68,1,4000,Grocery,3
805,18,662.1,298,1,6621,Grocery,3
805,18,328,197,2,3280,Grocery,3
813,169,194.3,169,1,1943,Grocery,3
827,249,171.9,249,1,1719,Grocery,3
836,193,134,193,1,1340,Grocery,3
838,194,142.6,194,1,1426,Grocery,3
839,240,100,252,1,1000,Grocery,3
839,240,110.6,240,2,1106,Grocery,3
840,104,290,104,1,2900,Grocery,3
850,197,34,200,1,340,Grocery,3
850,197,6,197,2,60,Grocery,3
851,124,309.7,124,1,3097,Grocery,3
868,166,175.4,166,1,1754,Grocery,3
869,269,107.1,269,1,1071,Grocery,3
874,20,123.6,270,1,1236,Grocery,3
874,20,46.3,154,2,463,Grocery,3
877,58,479.8,192,1,4798,Grocery,3
877,58,188,58,2,1880,Grocery,3
888,143,94,143,1,940,Grocery,3
892,230,120.8,230,1,1208,Grocery,3
897,46,186.8,46,1,1868,Grocery,3
905,266,294.3,266,1,2943,Grocery,3
913,34,43.6,34,1,436,Grocery,3
914,78,310,78,1,3100,Grocery,3
927,155,136,155,1,1360,Grocery,3
935,250,115,250,1,1150,Grocery,3
943,52,162,52,1,1620,Grocery,3
949,31,289.7,31,1,2897,Grocery,3
958,257,1081,257,1,10810,Grocery,3
980,138,167.5,138,1,1675,Grocery,3
982,256,64,256,1,640,Grocery,3
983,96,200,96,1,2000,Grocery,3
983,96,89.1,96,2,891,Grocery,3
992,282,246,282,1,2460,Grocery,3
994,258,92.4,258,1,924,Grocery,3
1004,7,211.7,7,1,2117,Grocery,3
1009,256,177.2,256,1,1772,Grocery,3
1010,275,100,275,1,1000,Grocery,3
1023,135,156,135,1,1560,Grocery,3
1024,55,232,55,1,2320,Grocery,3
1028,40,297.7,40,1,2977,Grocery,3
1046,148,191.5,148,1,1915,Grocery,3
1051,279,125.3,279,1,1253,Grocery,3
1065,253,95,253,1,950,Grocery,3
1068,267,100,267,1,1000,Grocery,3
1082,2,222.8,236,1,2228,Grocery,3
1084,143,348,143,1,3480,Grocery,3
1085,261,51.7,261,1,517,Grocery,3
1087,118,427.5,118,1,4275,Grocery,3
1097,227,194,227,1,1940,Grocery,3
1106,258,175.8,258,1,1758,Grocery,3
1119,35,165.6,35,1,1656,Grocery,3
1126,304,208.3,304,1,2083,Grocery,3
1135,165,190.5,165,1,1905,Grocery,3
1146,113,162.5,113,1,1625,Grocery,3
1147,103,198.8,103,1,1988,Grocery,3
1159,190,113.4,190,1,1134,Grocery,3
1167,268,259.3,268,1,2593,Grocery,3
1172,28,180.9,254,1,1809,Grocery,3
1175,27,256.9,27,1,2569,Grocery,3
1205,298,169.4,298,1,1694,Grocery,3
1209,255,153.6,255,1,1536,Grocery,3
1211,212,112,212,1,1120,Grocery,3
1215,256,215,256,1,2150,Grocery,3
1255,266,167.6,266,1,1676,Grocery,3
1258,187,255.1,187,1,2551,Grocery,3
1266,19,430.5,19,1,4305,Grocery,3
1270,279,172,279,1,1720,Grocery,3
1274,258,122.6,258,1,1226,Grocery,3
1282,214,282.7,214,1,2827,Grocery,3
1287,110,416,110,1,4160,Grocery,3
1291,94,410.9,94,1,4109,Grocery,3
1299,219,174,219,1,1740,Grocery,3
1320,290,170.5,290,1,1705,Grocery,3
1336,289,94.5,289,1,945,Grocery,3
1337,301,206,301,1,2060,Grocery,3
1342,13,51.4,258,1,514,Grocery,3
1348,41,214,294,1,2140,Grocery,3
1360,210,112,210,1,1120,Grocery,3
1361,227,484,227,1,4840,Grocery,3
1362,286,194.9,286,1,1949,Grocery,3
1381,34,213.8,34,1,2138,Grocery,3
1384,58,285.4,58,1,2854,Grocery,3
1389,195,170,195,1,1700,Grocery,3
1399,255,112,255,1,1120,Grocery,3
1401,136,178,136,1,1780,Grocery,3
1402,237,150.7,237,1,1507,Grocery,3
1407,292,146.6,292,1,1466,Grocery,3
1409,155,183.5,155,1,1835,Grocery,3
1416,98,70,98,1,700,Grocery,3
1435,121,192.4,121,1,1924,Grocery,3
1442,68,160,68,1,1600,Grocery,3
1448,297,69.3,297,1,693,Grocery,3
1454,290,259.7,290,1,2597,Grocery,3
1462,80,244.8,80,1,2448,Grocery,3
1467,244,165.5,244,1,1655,Grocery,3
1471,27,249.9,247,1,2499,Grocery,3
1476,178,219.4,178,1,2194,Grocery,3
1478,235,84,235,1,840,Grocery,3
1482,255,119.6,255,1,1196,Grocery,3
1485,208,303.5,208,1,3035,Grocery,3
1487,259,252.7,259,1,2527,Grocery,3
1503,172,169.7,172,1,1697,Grocery,3
1507,216,285,216,1,2850,Grocery,3
1508,60,204,60,1,2040,Grocery,3
1515,153,1127.8,282,1,11278,Grocery,3
1515,153,240,259,2,2400,Grocery,3
1515,153,305.2,229,3,3052,Grocery,3
1515,153,836,153,4,8360,Grocery,3
1518,227,162.4,227,1,1624,Grocery,3
1519,257,43,257,1,430,Grocery,3
1519,257,130.3,257,2,1303,Grocery,3
1522,20,149.5,304,1,1495,Grocery,3
1523,119,201.1,119,1,2011,Grocery,3
1539,21,184,214,1,1840,Grocery,3
1540,251,143.4,251,1,1434,Grocery,3
1542,110,195.6,110,1,1956,Grocery,3
1558,77,176.2,77,1,1762,Grocery,3
1561,256,12.6,256,1,126,Grocery,3
1567,124,151.6,124,1,1516,Grocery,3
1568,49,202.7,49,1,2027,Grocery,3
1574,291,260,291,1,2600,Grocery,3
1593,302,131.4,302,1,1314,Grocery,3
1598,49,121.4,294,1,1214,Grocery,3
1602,123,753.9,123,1,7539,Grocery,3
1610,181,150,181,1,1500,Grocery,3
1613,280,150.5,280,1,1505,Grocery,3
1614,164,463.3,164,1,4633,Grocery,3
1624,17,164.6,17,1,1646,Grocery,3
1628,114,200,114,1,2000,Grocery,3
1630,230,140,230,1,1400,Grocery,3
1635,228,112.9,228,1,1129,Grocery,3
1648,271,221,271,1,2210,Grocery,3
1655,297,240.8,297,1,2408,Grocery,3
1656,210,137.6,210,1,1376,Grocery,3
1659,244,64,244,1,640,Grocery,3
1663,254,157,254,1,1570,Grocery,3
1667,217,189.4,217,1,1894,Grocery,3
1672,188,165.1,188,1,1651,Grocery,3
1680,169,107.9,169,1,1079,Grocery,3
1683,242,66.1,242,1,661,Grocery,3
1685,41,224,41,1,2240,Grocery,3
1695,185,197.2,185,1,1972,Grocery,3
1697,180,176.1,180,1,1761,Grocery,3
1699,300,146.6,306,1,1466,Grocery,3
1701,268,32,290,1,320,Grocery,3
1701,268,6,268,2,60,Grocery,3
1702,229,336,301,1,3360,Grocery,3
1702,229,60,259,2,600,Grocery,3
1702,229,18.6,229,3,186,Grocery,3
1703,257,133.9,257,1,1339,Grocery,3
1704,255,594.4,255,1,5944,Grocery,3
1709,265,184.6,265,1,1846,Grocery,3
1714,27,403.9,300,1,4039,Grocery,3
1722,102,380.1,102,1,3801,Grocery,3
1723,122,274,122,1,2740,Grocery,3
1733,197,165.2,197,1,1652,Grocery,3
1735,209,107.1,209,1,1071,Grocery,3
1740,241,123.3,241,1,1233,Grocery,3
1742,294,281.2,294,1,2812,Grocery,3
1749,306,143.5,306,1,1435,Grocery,3
1757,241,153.2,241,1,1532,Grocery,3
1758,199,133.1,199,1,1331,Grocery,3
1762,93,70,93,1,700,Grocery,3
1768,268,212.9,268,1,2129,Grocery,3
1771,279,88,279,1,880,Grocery,3
1772,164,1038,164,1,10380,Grocery,3
1773,295,192,295,1,1920,Grocery,3
1774,20,256,123,1,2560,Grocery,3
1776,268,82,268,1,820,Grocery,3
1778,191,165.6,191,1,1656,Grocery,3
1781,20,868,143,1,8680,Grocery,3
1782,249,138.3,249,1,1383,Grocery,3
1787,286,340.5,286,1,3405,Grocery,3
1791,278,82.5,278,1,825,Grocery,3
1795,78,785.3,78,1,7853,Grocery,3
1796,244,56.1,244,1,561,Grocery,3
1798,231,178.7,231,1,1787,Grocery,3
1800,288,232.1,288,1,2321,Grocery,3
1807,298,555.4,298,1,5554,Grocery,3
1819,241,372.5,241,1,3725,Grocery,3
1822,254,175,254,1,1750,Grocery,3
1826,235,128,235,1,1280,Grocery,3
1829,272,166,272,1,1660,Grocery,3
1834,220,158,220,1,1580,Grocery,3
1839,175,123.9,175,1,1239,Grocery,3
1852,305,163.7,305,1,1637,Grocery,3
1857,183,124,183,1,1240,Grocery,3
1862,149,249.3,149,1,2493,Grocery,3
1865,68,108.5,68,1,1085,Grocery,3
1873,327,107.7,327,1,1077,Grocery,3
1878,136,572.8,136,1,5728,Grocery,3
1898,161,240,275,1,2400,Grocery,3
1898,161,128,239,2,1280,Grocery,3
1901,251,150,251,1,1500,Grocery,3
1912,286,371.8,286,1,3718,Grocery,3
1913,266,101.4,266,1,1014,Grocery,3
1917,291,172.7,291,1,1727,Grocery,3
1924,46,440,46,1,4400,Grocery,3
1933,108,215.1,108,1,2151,Grocery,3
1935,233,149.7,233,1,1497,Grocery,3
1946,140,53.3,140,1,533,Grocery,3
1952,28,176.9,28,1,1769,Grocery,3
1960,266,587.7,266,1,5877,Grocery,3
1963,230,198.5,230,1,1985,Grocery,3
1964,212,245.5,212,1,2455,Grocery,3
1966,272,204,272,1,2040,Grocery,3
1971,188,185.6,188,1,1856,Grocery,3
1974,54,284,54,1,2840,Grocery,3
1976,140,850.5,294,1,8505,Grocery,3
1976,140,105,264,2,1050,Grocery,3
1981,284,122,284,1,1220,Grocery,3
1985,304,100,304,1,1000,Grocery,3
1989,225,208,225,1,2080,Grocery,3
1995,102,185.9,102,1,1859,Grocery,3
2000,88,274.5,88,1,2745,Grocery,3
2002,93,129.1,93,1,1291,Grocery,3
2013,279,126.9,279,1,1269,Grocery,3
2015,262,102,262,1,1020,Grocery,3
2017,33,70.8,294,1,708,Grocery,3
2024,174,179.9,174,1,1799,Grocery,3
2029,72,328.7,72,1,3287,Grocery,3
2032,154,100,154,1,1000,Grocery,3
2036,299,140.8,299,1,1408,Grocery,3
2037,305,110,305,1,1100,Grocery,3
2038,240,92,240,1,920,Grocery,3
2041,307,122.6,307,1,1226,Grocery,3
2047,125,233.1,125,1,2331,Grocery,3
2055,222,63.1,222,1,631,Grocery,3
2056,305,150.8,305,1,1508,Grocery,3
2057,225,157.6,225,1,1576,Grocery,3
2058,104,177.8,104,1,1778,Grocery,3
2089,45,110,45,1,1100,Grocery,3
2091,250,836.5,298,1,8365,Grocery,3
2107,252,184.9,252,1,1849,Grocery,3
2108,291,100,291,1,1000,Grocery,3
2111,6,554,298,1,5540,Grocery,3
2121,292,713.1,292,1,7131,Grocery,3
2123,41,197.6,206,1,1976,Grocery,3
2137,90,157.4,90,1,1574,Grocery,3
2143,290,209.3,290,1,2093,Grocery,3
2157,296,190.7,296,1,1907,Grocery,3
2160,208,300.8,208,1,3008,Grocery,3
2163,258,250.4,258,1,2504,Grocery,3
2165,236,118,236,1,1180,Grocery,3
2169,303,120,303,1,1200,Grocery,3
2171,21,169.8,21,1,1698,Grocery,3
2179,272,158,272,1,1580,Grocery,3
2181,305,6.6,305,1,66,Grocery,3
2182,234,186,234,1,1860,Grocery,3
2186,175,158,175,1,1580,Grocery,3
2195,172,66,172,1,660,Grocery,3
2196,108,226.3,108,1,2263,Grocery,3
2201,121,269.4,121,1,2694,Grocery,3
2209,137,14.4,262,1,144,Grocery,3
2209,137,12.9,205,2,129,Grocery,3
2209,137,12.9,137,3,129,Grocery,3
2211,286,153.9,286,1,1539,Grocery,3
2214,62,449.6,243,1,4496,Grocery,3
2215,260,161.7,260,1,1617,Grocery,3
2217,259,131.6,259,1,1316,Grocery,3
2220,140,139.6,140,1,1396,Grocery,3
2227,31,187.7,31,1,1877,Grocery,3
2230,255,2382.3,255,1,23823,Grocery,3
2232,281,56.4,281,1,564,Grocery,3
2239,136,55.6,136,1,556,Grocery,3
2241,57,213.9,57,1,2139,Grocery,3
2244,167,140,167,1,1400,Grocery,3
2245,34,142.6,270,1,1426,Grocery,3
2254,104,183,104,1,1830,Grocery,3
2256,20,658.2,279,1,6582,Grocery,3
2260,158,292.3,158,1,2923,Grocery,3
2266,100,151.6,100,1,1516,Grocery,3
2270,159,152.4,159,1,1524,Grocery,3
2272,174,165.9,174,1,1659,Grocery,3
2275,139,200,139,1,2000,Grocery,3
2294,271,195.6,271,1,1956,Grocery,3
2298,34,418,324,1,4180,Grocery,3
2299,298,199.7,298,1,1997,Grocery,3
2310,147,242,147,1,2420,Grocery,3
2318,266,53.7,266,1,537,Grocery,3
2326,93,1202,93,1,12020,Grocery,3
2328,179,262.6,268,1,2626,Grocery,3
2331,309,98,309,1,980,Grocery,3
2332,251,182,251,1,1820,Grocery,3
2334,293,126.9,293,1,1269,Grocery,3
2344,41,225,41,1,2250,Grocery,3
2358,253,146,253,1,1460,Grocery,3
2362,125,198.3,125,1,1983,Grocery,3
2364,257,186.7,257,1,1867,Grocery,3
2368,267,72.3,267,1,723,Grocery,3
2371,55,275,291,1,2750,Grocery,3
2374,150,322,266,1,3220,Grocery,3
2374,150,84.8,150,2,848,Grocery,3
2379,27,510,266,1,5100,Grocery,3
2385,248,519.2,248,1,5192,Grocery,3
2386,238,81.3,238,1,813,Grocery,3
2393,33,87.1,311,1,871,Grocery,3
2397,246,130,246,1,1300,Grocery,3
2406,9,26.5,9,1,265,Grocery,3
2410,277,133,277,1,1330,Grocery,3
2444,249,119.7,249,1,1197,Grocery,3
2448,162,128,162,1,1280,Grocery,3
2449,288,309.2,288,1,3092,Grocery,3
2452,179,295.9,179,1,2959,Grocery,3
2461,272,164.9,272,1,1649,Grocery,3
2467,299,190,299,1,1900,Grocery,3
2477,266,44.5,266,1,445,Grocery,3
2482,162,400,162,1,4000,Grocery,3
2487,267,185.5,267,1,1855,Grocery,3
2490,284,477.1,284,1,4771,Grocery,3
2494,230,182.3,230,1,1823,Grocery,3
2508,233,127,233,1,1270,Grocery,3
2512,143,130.2,143,1,1302,Grocery,3
2516,38,253,221,1,2530,Grocery,3
2516,38,104,38,2,1040,Grocery,3
2517,198,169.9,198,1,1699,Grocery,3
2521,249,209,249,1,2090,Grocery,3
2524,209,179.9,209,1,1799,Grocery,3
2526,260,167,260,1,1670,Grocery,3
2530,309,200,309,1,2000,Grocery,3
2532,176,411.9,176,1,4119,Grocery,3
2540,168,600,293,1,6000,Grocery,3
2563,28,125.7,242,1,1257,Grocery,3
2563,28,125.7,241,2,1257,Grocery,3
2566,241,158,241,1,1580,Grocery,3
2569,244,110.1,244,1,1101,Grocery,3
2577,258,144.9,258,1,1449,Grocery,3
2588,59,216.7,59,1,2167,Grocery,3
2591,69,1000,270,1,10000,Grocery,3
2599,25,340,271,1,3400,Grocery,3
2604,258,216,258,1,2160,Grocery,3
2605,242,151.7,242,1,1517,Grocery,3
2607,279,182.8,279,1,1828,Grocery,3
2622,128,199.7,128,1,1997,Grocery,3
2623,189,154,189,1,1540,Grocery,3
2626,253,537,253,1,5370,Grocery,3
2629,265,157.1,265,1,1571,Grocery,3
2632,250,137.7,250,1,1377,Grocery,3
2635,40,164,40,1,1640,Grocery,3
2639,39,277.3,299,1,2773,Grocery,3
2642,13,198.9,218,1,1989,Grocery,3
2646,248,158.3,248,1,1583,Grocery,3
2650,255,326,255,1,3260,Grocery,3
2668,207,130,207,1,1300,Grocery,3
2686,68,200,68,1,2000,Grocery,3
2695,109,169.8,109,1,1698,Grocery,3
2711,250,132.4,250,1,1324,Grocery,3
2712,270,102.9,270,1,1029,Grocery,3
2716,44,200,44,1,2000,Grocery,3
2721,269,168,310,1,1680,Grocery,3
2721,269,26.5,269,2,265,Grocery,3
2725,95,229.1,95,1,2291,Grocery,3
2730,110,1000,126,1,10000,Grocery,3
2733,255,58.9,275,1,589,Grocery,3
2733,255,398.5,255,2,3985,Grocery,3
2739,294,100,294,1,1000,Grocery,3
2742,289,281.3,289,1,2813,Grocery,3
2754,266,1636,270,1,16360,Grocery,3
2772,236,186,236,1,1860,Grocery,3
2781,294,139.9,294,1,1399,Grocery,3
2787,246,313.8,246,1,3138,Grocery,3
2788,230,174,230,1,1740,Grocery,3
2789,166,167.7,166,1,1677,Grocery,3
2797,260,167.4,260,1,1674,Grocery,3
2798,31,163.5,31,1,1635,Grocery,3
2800,148,291.5,148,1,2915,Grocery,3
2809,71,154.2,71,1,1542,Grocery,3
2813,219,165.7,219,1,1657,Grocery,3
2815,268,217.5,268,1,2175,Grocery,3
2821,197,192.3,197,1,1923,Grocery,3
2826,302,45.4,302,1,454,Grocery,3
2829,66,690,191,1,6900,Grocery,3
2829,66,215.5,66,2,2155,Grocery,3
2836,245,152,245,1,1520,Grocery,3
2844,290,274.9,290,1,2749,Grocery,3
2848,250,142,250,1,1420,Grocery,3
2849,240,56,240,1,560,Grocery,3
2866,291,167.1,291,1,1671,Grocery,3
2871,91,177.7,91,1,1777,Grocery,3
2873,210,126,210,1,1260,Grocery,3
2876,64,270.1,285,1,2701,Grocery,3
2880,225,585.8,225,1,5858,Grocery,3
2888,287,152,287,1,1520,Grocery,3
2895,141,260,141,1,2600,Grocery,3
2917,156,356.2,156,1,3562,Grocery,3
2929,33,226,288,1,2260,Grocery,3
2929,33,30.6,137,2,306,Grocery,3
2931,250,144.5,250,1,1445,Grocery,3
2938,116,315.9,116,1,3159,Grocery,3
2939,166,240.5,166,1,2405,Grocery,3
2943,183,120,183,1,1200,Grocery,3
2944,96,52.6,96,1,526,Grocery,3
2946,61,273.3,61,1,2733,Grocery,3
2953,302,146.2,302,1,1462,Grocery,3
2967,167,63.3,167,1,633,Grocery,3
2970,238,323.8,238,1,3238,Grocery,3
2974,148,94,148,1,940,Grocery,3
2990,294,181.7,294,1,1817,Grocery,3
2996,93,96,93,1,960,Grocery,3
2998,296,167.3,296,1,1673,Grocery,3
3005,315,147.2,315,1,1472,Grocery,3
3007,78,190.1,246,1,1901,Grocery,3
3007,78,12.6,78,2,126,Grocery,3
3010,256,187.3,256,1,1873,Grocery,3
3019,245,268.5,245,1,2685,Grocery,3
3020,201,165.9,201,1,1659,Grocery,3
3044,118,202,151,1,2020,Grocery,3
3044,118,265.4,142,2,2654,Grocery,3
3044,118,512.6,118,3,5126,Grocery,3
3051,273,188,273,1,1880,Grocery,3
3054,254,205.3,254,1,2053,Grocery,3
3055,258,133.6,258,1,1336,Grocery,3
3060,201,359.3,201,1,3593,Grocery,3
3064,76,245.8,76,1,2458,Grocery,3
3068,273,127.4,273,1,1274,Grocery,3
3073,231,91.7,231,1,917,Grocery,3
3081,229,130,229,1,1300,Grocery,3
3091,161,521.1,161,1,5211,Grocery,3
3111,296,482.7,296,1,4827,Grocery,3
3113,84,148,84,1,1480,Grocery,3
3121,205,283.4,205,1,2834,Grocery,3
3124,227,92,227,1,920,Grocery,3
3128,218,116.4,218,1,1164,Grocery,3
3137,163,178.5,163,1,1785,Grocery,3
3138,89,179.1,89,1,1791,Grocery,3
3145,291,504.7,291,1,5047,Grocery,3
3148,267,84.2,267,1,842,Grocery,3
3151,233,80,233,1,800,Grocery,3
3152,145,200,145,1,2000,Grocery,3
3152,145,89.2,145,2,892,Grocery,3
3153,284,146.6,284,1,1466,Grocery,3
3155,295,132,295,1,1320,Grocery,3
3162,300,246.9,300,1,2469,Grocery,3
3166,180,804,180,1,8040,Grocery,3
3170,154,301.4,154,1,3014,Grocery,3
3172,214,122,214,1,1220,Grocery,3
3174,250,51.3,250,1,513,Grocery,3
3187,256,1800,256,1,18000,Grocery,3
3189,121,474.1,121,1,4741,Grocery,3
3192,264,134.8,264,1,1348,Grocery,3
3193,270,231.4,270,1,2314,Grocery,3
3194,88,330,88,1,3300,Grocery,3
3204,316,56,316,1,560,Grocery,3
3219,250,185.4,250,1,1854,Grocery,3
3224,261,180,261,1,1800,Grocery,3
3226,12,202,246,1,2020,Grocery,3
3240,193,114,193,1,1140,Grocery,3
3242,163,272,163,1,2720,Grocery,3
3253,305,51,305,1,510,Grocery,3
3257,138,213.8,138,1,2138,Grocery,3
3268,248,174.8,248,1,1748,Grocery,3
3271,266,313.6,266,1,3136,Grocery,3
3282,218,240,218,1,2400,Grocery,3
3296,161,370.9,161,1,3709,Grocery,3
3301,61,192.5,61,1,1925,Grocery,3
3317,296,176.3,296,1,1763,Grocery,3
3320,199,205.1,199,1,2051,Grocery,3
3321,300,280,300,1,2800,Grocery,3
3328,134,10,134,1,100,Grocery,3
3342,197,159.1,197,1,1591,Grocery,3
3348,284,151.3,284,1,1513,Grocery,3
3350,252,165.1,252,1,1651,Grocery,3
3353,85,170,85,1,1700,Grocery,3
3369,124,212,124,1,2120,Grocery,3
3373,97,208.3,97,1,2083,Grocery,3
3380,259,58.8,259,1,588,Grocery,3
3387,245,253.9,245,1,2539,Grocery,3
3389,270,275.4,270,1,2754,Grocery,3
3393,250,116.3,250,1,1163,Grocery,3
3397,301,117.1,301,1,1171,Grocery,3
3409,296,146.5,296,1,1465,Grocery,3
3413,296,896.5,296,1,8965,Grocery,3
3418,262,78,262,1,780,Grocery,3
3421,41,624,296,1,6240,Grocery,3
